gene_name,plate_well_ID,Target_terminus,Ensembl_ID,input
ARF5,P0010_A08,C,ENST00000000233,"ENST00000000233,C"
DBNDD1,P0011_G09,C,ENST00000002501,"ENST00000002501,C"
BAIAP2L1,P0010_B06,N,ENST00000005260,"ENST00000005260,N"
CD9,P0001_C11,N,ENST00000009180,"ENST00000009180,N"
RANBP9,P0016_G06,C,ENST00000011619,"ENST00000011619,C"
VDAC3,P0005_H04,C,ENST00000022615,"ENST00000022615,C"
VAMP3,P0005_H01,N,ENST00000054666,"ENST00000054666,N"
CDC27,P0007_E08,N,ENST00000066544,"ENST00000066544,N"
EPN1,P0008_F05,N,ENST00000085079,"ENST00000085079,N"
PSMC4,P0006_C06,N,ENST00000157812,"ENST00000157812,N"
KIF22,P0017_B06,C,ENST00000160827,"ENST00000160827,C"
NFKB2,P0019_B03,N,ENST00000189444,"ENST00000189444,N"
ACTN1,P0019_C01,C,ENST00000193403,"ENST00000193403,C"
HSPB11,P0005_E03,N,ENST00000194214,"ENST00000194214,N"
RBM22,P0017_G02,C,ENST00000199814,"ENST00000199814,C"
LAMP2,P0003_E02,C,ENST00000200639,"ENST00000200639,C"
SPG21,P0021_H02,N,ENST00000204566,"ENST00000204566,N"
PSME1,P0006_D05,N,ENST00000206451,"ENST00000206451,N"
NANS,P0011_A07,N,ENST00000210444,"ENST00000210444,N"
RPS18,P0019_F04,N,ENST00000211372,"ENST00000211372,N"
BAG6,P0005_A09,C,ENST00000211379,"ENST00000211379,C"
VCL,P0009_F08,N,ENST00000211998,"ENST00000211998,N"
MIF,P0011_F05,C,ENST00000215754,"ENST00000215754,C"
SF3A1,P0017_D06,C,ENST00000215793,"ENST00000215793,C"
LGALS1,P0011_A09,N,ENST00000215909,"ENST00000215909,N"
ANKRD54,P0015_G08,N,ENST00000215941,"ENST00000215941,N"
CENPM,P0003_H04,C,ENST00000215980,"ENST00000215980,C"
RTCB,P0016_B01,N,ENST00000216038,"ENST00000216038,N"
MYH9,P0011_A12,C,ENST00000216181,"ENST00000216181,C"
HSP90AA1,P0005_D05,N,ENST00000216281,"ENST00000216281,N"
SUPT16H,P0012_C05,C,ENST00000216297,"ENST00000216297,C"
ATP6V1D,P0018_E10,C,ENST00000216442,"ENST00000216442,C"
PSMA3,P0006_B03,C,ENST00000216455,"ENST00000216455,C"
AHSA1,P0005_A03,N,ENST00000216479,"ENST00000216479,N"
SPTLC2,P0004_B11,C,ENST00000216484,"ENST00000216484,C"
SRP54,P0012_G07,C,ENST00000216774,"ENST00000216774,C"
EMC9,P0021_B04,N,ENST00000216799,"ENST00000216799,N"
RABGGTA,P0001_G12,N,ENST00000216840,"ENST00000216840,N"
CSNK2A1,P0003_B03,C,ENST00000217244,"ENST00000217244,C"
AHCY,P0019_G05,N,ENST00000217426,"ENST00000217426,N"
MYL12A,P0017_C10,N,ENST00000217652,"ENST00000217652,N"
PSMD10,P0006_C04,C,ENST00000217958,"ENST00000217958,C"
PGRMC1,P0019_D12,C,ENST00000217971,"ENST00000217971,C"
ARL2BP,P0008_D04,C,ENST00000219204,"ENST00000219204,C"
POLR2C,P0010_E02,C,ENST00000219252,"ENST00000219252,C"
PSMD7,P0006_C02,C,ENST00000219313,"ENST00000219313,C"
SLC7A6,P0015_F06,C,ENST00000219343,"ENST00000219343,C"
USP10,P0016_B09,C,ENST00000219473,"ENST00000219473,C"
CDIPT,P0004_G05,C,ENST00000219789,"ENST00000219789,C"
CSK,P0011_H05,N,ENST00000220003,"ENST00000220003,N"
DNAJC17,P0005_C02,N,ENST00000220496,"ENST00000220496,N"
VPS18,P0021_G08,N,ENST00000220509,"ENST00000220509,N"
AGO2,P0013_H09,N,ENST00000220592,"ENST00000220592,N"
EIF3E,P0019_A05,C,ENST00000220849,"ENST00000220849,C"
EMC2,P0021_A12,C,ENST00000220853,"ENST00000220853,C"
PPP2CB,P0007_D03,C,ENST00000221138,"ENST00000221138,C"
HNRNPL,P0012_A11,N,ENST00000221419,"ENST00000221419,N"
RNASEH2A,P0011_B03,N,ENST00000221486,"ENST00000221486,N"
SF3A2,P0017_D07,C,ENST00000221494,"ENST00000221494,C"
FBL,P0003_B06,C,ENST00000221801,"ENST00000221801,C"
POLR2I,P0010_E08,C,ENST00000221859,"ENST00000221859,C"
CDC37,P0005_A10,N,ENST00000222005,"ENST00000222005,N"
RABAC1,P0001_G07,N,ENST00000222008,"ENST00000222008,N"
RAB3D,P0001_F09,N,ENST00000222120,"ENST00000222120,N"
PIK3R2,P0006_F04,N,ENST00000222254,"ENST00000222254,N"
TMEM147,P0021_B07,C,ENST00000222284,"ENST00000222284,C"
GSK3A,P0013_F02,C,ENST00000222330,"ENST00000222330,C"
TWISTNB,P0003_A06,C,ENST00000222567,"ENST00000222567,C"
SNX8,P0007_H01,N,ENST00000222990,"ENST00000222990,N"
WASL,P0016_H09,N,ENST00000223023,"ENST00000223023,N"
PSMA2,P0006_B07,C,ENST00000223321,"ENST00000223321,C"
SEC61B,P0001_H07,N,ENST00000223641,"ENST00000223641,N"
EDF1,P0019_E11,C,ENST00000224073,"ENST00000224073,C"
NUFIP2,P0016_B08,C,ENST00000225388,"ENST00000225388,C"
RPL19,P0019_E05,C,ENST00000225430,"ENST00000225430,C"
CBX1,P0012_G03,N,ENST00000225603,"ENST00000225603,N"
PFN1,P0009_F05,N,ENST00000225655,"ENST00000225655,N"
CCDC47,P0022_G11,C,ENST00000225726,"ENST00000225726,C"
MED31,P0007_F11,N,ENST00000225728,"ENST00000225728,N"
DDX5,P0011_E12,N,ENST00000225792,"ENST00000225792,N"
NFKB1,P0019_B02,N,ENST00000226574,"ENST00000226574,N"
GAR1,P0012_D09,C,ENST00000226796,"ENST00000226796,C"
HSPA8,P0005_E01,N,ENST00000227378,"ENST00000227378,N"
CCDC86,P0011_G08,C,ENST00000227520,"ENST00000227520,C"
PRPF19,P0019_G08,N,ENST00000227524,"ENST00000227524,N"
POLR3B,P0010_F02,N,ENST00000228347,"ENST00000228347,N"
MVK,P0004_A04,C,ENST00000228510,"ENST00000228510,C"
ARPC3,P0008_D12,N,ENST00000228825,"ENST00000228825,N"
CHPT1,P0004_G06,N,ENST00000229266,"ENST00000229266,N"
C12orf57,P0021_H04,N,ENST00000229281,"ENST00000229281,N"
GOLT1B,P0018_F04,C,ENST00000229314,"ENST00000229314,C"
RAB35,P0001_F08,N,ENST00000229340,"ENST00000229340,N"
MAPK14,P0013_G11,C,ENST00000229794,"ENST00000229794,C"
SNX3,P0010_C08,N,ENST00000230085,"ENST00000230085,N"
BYSL,P0012_E08,N,ENST00000230340,"ENST00000230340,N"
TBP,P0003_A08,N,ENST00000230354,"ENST00000230354,N"
PTK7,P0014_D04,C,ENST00000230419,"ENST00000230419,C"
EIF2AK2,P0010_H06,N,ENST00000233057,"ENST00000233057,N"
MDH1,P0019_F03,C,ENST00000233114,"ENST00000233114,C"
NCK2,P0016_C12,N,ENST00000233154,"ENST00000233154,N"
SF3B6,P0017_E02,C,ENST00000233468,"ENST00000233468,C"
SNX17,P0010_D07,N,ENST00000233575,"ENST00000233575,N"
REEP6,P0016_C04,N,ENST00000233596,"ENST00000233596,N"
PASK,P0014_B05,N,ENST00000234040,"ENST00000234040,N"
GORASP2,P0016_D04,C,ENST00000234160,"ENST00000234160,C"
ENO1,P0011_A03,N,ENST00000234590,"ENST00000234590,N"
CDC7,P0013_B10,C,ENST00000234626,"ENST00000234626,C"
SARS,P0019_F01,C,ENST00000234677,"ENST00000234677,C"
EBNA1BP2,P0012_C07,N,ENST00000236051,"ENST00000236051,N"
MED28,P0007_F07,C,ENST00000237380,"ENST00000237380,C"
MYL12B,P0009_E11,C,ENST00000237500,"ENST00000237500,C"
RPN2,P0007_A08,C,ENST00000237530,"ENST00000237530,C"
YWHAQ,P0008_A06,C,ENST00000238081,"ENST00000238081,C"
NEK9,P0014_B01,C,ENST00000238616,"ENST00000238616,C"
TARDBP,P0003_H09,N,ENST00000240185,"ENST00000240185,N"
COIL,P0003_C05,N,ENST00000240316,"ENST00000240316,N"
SLC35B1,P0015_C05,C,ENST00000240333,"ENST00000240333,C"
NCAPH,P0021_D08,N,ENST00000240423,"ENST00000240423,N"
DYNLL1,P0017_A09,N,ENST00000242577,"ENST00000242577,N"
PKN1,P0014_C01,N,ENST00000242783,"ENST00000242783,N"
SNRPA,P0017_E03,C,ENST00000243563,"ENST00000243563,C"
ACTR5,P0021_E04,C,ENST00000243903,"ENST00000243903,C"
MPHOSPH10,P0012_H08,N,ENST00000244230,"ENST00000244230,N"
RRP36,P0018_B10,N,ENST00000244496,"ENST00000244496,N"
SNRPC,P0017_E07,C,ENST00000244520,"ENST00000244520,C"
EMC3,P0018_F03,C,ENST00000245046,"ENST00000245046,C"
MBOAT7,P0004_F08,C,ENST00000245615,"ENST00000245615,C"
VASP,P0009_E12,C,ENST00000245932,"ENST00000245932,C"
NCLN,P0022_G12,C,ENST00000246117,"ENST00000246117,C"
ARL2,P0008_C06,C,ENST00000246747,"ENST00000246747,C"
NOP53,P0012_C06,C,ENST00000246802,"ENST00000246802,C"
SBDS,P0012_D10,N,ENST00000246868,"ENST00000246868,N"
ATG14,P0021_D03,N,ENST00000247178,"ENST00000247178,N"
EIF3K,P0011_D06,C,ENST00000248342,"ENST00000248342,C"
AAMP,P0012_B12,C,ENST00000248450,"ENST00000248450,C"
HSPB1,P0005_E02,C,ENST00000248553,"ENST00000248553,C"
SEM1,P0006_A04,C,ENST00000248566,"ENST00000248566,C"
YWHAH,P0008_A05,C,ENST00000248975,"ENST00000248975,C"
ATP6V1F,P0018_E12,N,ENST00000249289,"ENST00000249289,N"
FXR2,P0016_B05,N,ENST00000250113,"ENST00000250113,N"
DAD1,P0007_A10,N,ENST00000250498,"ENST00000250498,N"
MKNK2,P0014_A09,N,ENST00000250896,"ENST00000250896,N"
LMAN1,P0003_G12,C,ENST00000251047,"ENST00000251047,C"
TUBG1,P0010_G03,N,ENST00000251413,"ENST00000251413,N"
RPS16,P0011_E08,N,ENST00000251453,"ENST00000251453,N"
RABGAP1L,P0001_G11,N,ENST00000251507,"ENST00000251507,N"
SNX4,P0010_C09,N,ENST00000251775,"ENST00000251775,N"
RAF1,P0014_D05,C,ENST00000251849,"ENST00000251849,C"
MED17,P0007_F02,C,ENST00000251871,"ENST00000251871,C"
ACTN4,P0019_C03,C,ENST00000252699,"ENST00000252699,C"
ATXN10,P0018_G11,N,ENST00000252934,"ENST00000252934,N"
CEP85,P0007_B06,N,ENST00000252992,"ENST00000252992,N"
UBE2M,P0018_B08,N,ENST00000253023,"ENST00000253023,N"
TRIM28,P0014_G06,N,ENST00000253024,"ENST00000253024,N"
EIF2S3,P0019_F02,C,ENST00000253039,"ENST00000253039,C"
EIF3G,P0019_F12,N,ENST00000253108,"ENST00000253108,N"
NOL11,P0012_C12,N,ENST00000253247,"ENST00000253247,N"
EMC8,P0021_B03,N,ENST00000253457,"ENST00000253457,N"
RBSN,P0008_H09,N,ENST00000253699,"ENST00000253699,N"
RPL27,P0003_C02,C,ENST00000253788,"ENST00000253788,C"
DnaJB1,P0005_B02,N,ENST00000254322,"ENST00000254322,N"
SMARCC1,P0018_H03,C,ENST00000254480,"ENST00000254480,C"
MYBBP1A,P0003_F09,N,ENST00000254718,"ENST00000254718,N"
WBP2,P0011_G05,C,ENST00000254806,"ENST00000254806,C"
TERF2,P0019_D09,N,ENST00000254942,"ENST00000254942,N"
VPS4A,P0007_G12,C,ENST00000254950,"ENST00000254950,C"
DPH2,P0018_D02,N,ENST00000255108,"ENST00000255108,N"
XPO4,P0016_G11,N,ENST00000255305,"ENST00000255305,N"
MED10,P0007_E11,C,ENST00000255764,"ENST00000255764,C"
PI4KA,P0006_F03,N,ENST00000255882,"ENST00000255882,N"
IPO8,P0016_E12,N,ENST00000256079,"ENST00000256079,N"
ERG28,P0001_A05,C,ENST00000256319,"ENST00000256319,C"
CCNB1,P0003_H07,C,ENST00000256442,"ENST00000256442,C"
CAMK1,P0013_B05,C,ENST00000256460,"ENST00000256460,C"
VHL,P0007_G11,N,ENST00000256474,"ENST00000256474,N"
EMC7,P0021_B02,C,ENST00000256545,"ENST00000256545,C"
CEP135,P0007_C02,C,ENST00000257287,"ENST00000257287,C"
CD63,P0001_C09,N,ENST00000257857,"ENST00000257857,N"
CDK4,P0013_C05,C,ENST00000257904,"ENST00000257904,C"
CCT7,P0007_C12,C,ENST00000258091,"ENST00000258091,C"
DYNC1LI2,P0017_A06,N,ENST00000258198,"ENST00000258198,N"
TGFBRAP1,P0021_A10,C,ENST00000258449,"ENST00000258449,C"
APPL2,P0010_B12,N,ENST00000258530,"ENST00000258530,N"
CKAP2,P0016_A06,N,ENST00000258607,"ENST00000258607,N"
MED4,P0007_G01,N,ENST00000258648,"ENST00000258648,N"
IGF2BP3,P0016_B07,N,ENST00000258729,"ENST00000258729,N"
DDX56,P0012_D02,C,ENST00000258772,"ENST00000258772,C"
PSMB7,P0006_A08,C,ENST00000259457,"ENST00000259457,C"
FNBP1L,P0010_B02,N,ENST00000260506,"ENST00000260506,N"
DYNC2LI1,P0017_A08,N,ENST00000260605,"ENST00000260605,N"
ACTR2,P0008_D09,C,ENST00000260641,"ENST00000260641,C"
KIF11,P0017_A11,C,ENST00000260731,"ENST00000260731,C"
ARL3,P0008_C07,C,ENST00000260746,"ENST00000260746,C"
DNAJC13,P0005_B12,C,ENST00000260818,"ENST00000260818,C"
SSB,P0012_B03,N,ENST00000260956,"ENST00000260956,N"
WDR12,P0012_D12,N,ENST00000261015,"ENST00000261015,N"
ATP2B1,P0003_D01,N,ENST00000261173,"ENST00000261173,N"
LMNB1,P0003_E05,N,ENST00000261366,"ENST00000261366,N"
CORO1C,P0008_E12,C,ENST00000261401,"ENST00000261401,C"
PSMA6,P0006_B05,C,ENST00000261479,"ENST00000261479,C"
USP22,P0019_H06,N,ENST00000261497,"ENST00000261497,N"
SLC7A5,P0015_F05,C,ENST00000261622,"ENST00000261622,C"
ARL1,P0008_B11,C,ENST00000261636,"ENST00000261636,C"
KPNA3,P0016_F04,C,ENST00000261667,"ENST00000261667,C"
UTP6,P0012_D11,N,ENST00000261708,"ENST00000261708,N"
TAOK1,P0014_G01,N,ENST00000261716,"ENST00000261716,N"
ANKRD13A,P0015_H04,N,ENST00000261739,"ENST00000261739,N"
RBM19,P0017_G01,C,ENST00000261741,"ENST00000261741,C"
RAB11A,P0001_E03,N,ENST00000261890,"ENST00000261890,N"
PTGES3,P0005_G01,N,ENST00000262033,"ENST00000262033,N"
PIK3C3,P0006_H02,C,ENST00000262039,"ENST00000262039,C"
SLC11A2,P0015_A02,C,ENST00000262052,"ENST00000262052,C"
NUP153,P0006_H09,N,ENST00000262077,"ENST00000262077,N"
LPCAT2,P0004_F04,N,ENST00000262134,"ENST00000262134,N"
RHEB,P0001_H04,N,ENST00000262187,"ENST00000262187,N"
PSMB1,P0006_A05,C,ENST00000262193,"ENST00000262193,C"
TMED2,P0003_F08,C,ENST00000262225,"ENST00000262225,C"
YY1,P0012_F01,N,ENST00000262238,"ENST00000262238,N"
VMP1,P0021_G05,N,ENST00000262291,"ENST00000262291,N"
PKMYT1,P0010_H08,N,ENST00000262300,"ENST00000262300,N"
CSNK2A2,P0003_B04,C,ENST00000262506,"ENST00000262506,C"
SPTLC1,P0001_H09,C,ENST00000262554,"ENST00000262554,C"
SLC9A3R1,P0015_F07,C,ENST00000262613,"ENST00000262613,C"
RBM42,P0017_H01,N,ENST00000262633,"ENST00000262633,N"
UPF1,P0017_D05,C,ENST00000262803,"ENST00000262803,C"
COPE,P0003_F11,C,ENST00000262812,"ENST00000262812,C"
MARK4,P0014_A04,N,ENST00000262891,"ENST00000262891,N"
MAP2K2,P0013_F12,C,ENST00000262948,"ENST00000262948,C"
CSE1L,P0016_E06,C,ENST00000262982,"ENST00000262982,C"
MAPK3,P0013_G12,C,ENST00000263025,"ENST00000263025,C"
PLD2,P0006_H04,N,ENST00000263088,"ENST00000263088,N"
CNN2,P0016_D10,N,ENST00000263097,"ENST00000263097,N"
MED15,P0007_F08,C,ENST00000263205,"ENST00000263205,C"
ARFGAP3,P0010_A11,C,ENST00000263245,"ENST00000263245,C"
PACSIN2,P0008_G08,N,ENST00000263246,"ENST00000263246,N"
AP2S1,P0019_E12,C,ENST00000263270,"ENST00000263270,C"
POLR1B,P0003_A02,N,ENST00000263331,"ENST00000263331,N"
TCF25,P0021_D12,N,ENST00000263346,"ENST00000263346,N"
BLVRB,P0011_A05,C,ENST00000263368,"ENST00000263368,C"
BRD4,P0013_B03,N,ENST00000263377,"ENST00000263377,N"
CD81,P0001_C10,N,ENST00000263645,"ENST00000263645,N"
SNRNP40,P0017_F01,C,ENST00000263694,"ENST00000263694,C"
DNAJC8,P0005_D01,N,ENST00000263697,"ENST00000263697,N"
OSBP,P0001_D11,N,ENST00000263847,"ENST00000263847,N"
CHMP3,P0005_F07,C,ENST00000263856,"ENST00000263856,C"
POLR1A,P0003_A01,C,ENST00000263857,"ENST00000263857,C"
RND3,P0009_C10,N,ENST00000263895,"ENST00000263895,N"
TAF12,P0003_B01,C,ENST00000263974,"ENST00000263974,C"
CTCF,P0019_D02,C,ENST00000264010,"ENST00000264010,C"
SC5D,P0004_B08,C,ENST00000264027,"ENST00000264027,C"
MCOLN1,P0018_F08,N,ENST00000264079,"ENST00000264079,N"
CAPZB,P0009_F07,N,ENST00000264202,"ENST00000264202,N"
GSK3B,P0013_F03,C,ENST00000264235,"ENST00000264235,C"
PDCL3,P0011_B11,N,ENST00000264254,"ENST00000264254,N"
NOP58,P0003_B07,C,ENST00000264279,"ENST00000264279,C"
PIKFYVE,P0006_H07,N,ENST00000264380,"ENST00000264380,N"
PSMD3,P0006_C01,N,ENST00000264639,"ENST00000264639,N"
ATP6V0A1,P0018_E03,N,ENST00000264649,"ENST00000264649,N"
CAD,P0011_F04,N,ENST00000264705,"ENST00000264705,N"
RAB10,P0001_E02,N,ENST00000264710,"ENST00000264710,N"
PLPP1,P0004_F10,C,ENST00000264775,"ENST00000264775,C"
SEPTIN11,P0010_G11,C,ENST00000264893,"ENST00000264893,C"
PDCD6,P0011_F02,N,ENST00000264933,"ENST00000264933,N"
CEP72,P0007_B11,N,ENST00000264935,"ENST00000264935,N"
DEPDC1B,P0009_A09,N,ENST00000265036,"ENST00000265036,N"
RAB7A,P0001_G04,N,ENST00000265062,"ENST00000265062,N"
SLC1A3,P0015_A09,C,ENST00000265113,"ENST00000265113,C"
CASP6,P0019_B09,C,ENST00000265164,"ENST00000265164,C"
MED20,P0007_F04,C,ENST00000265350,"ENST00000265350,C"
XPO5,P0016_G12,N,ENST00000265351,"ENST00000265351,N"
TNPO3,P0016_G10,N,ENST00000265388,"ENST00000265388,N"
WWP1,P0005_F01,N,ENST00000265428,"ENST00000265428,N"
BLVRA,P0013_A12,N,ENST00000265523,"ENST00000265523,N"
BUD23,P0012_C09,N,ENST00000265758,"ENST00000265758,N"
GET4,P0018_B06,C,ENST00000265857,"ENST00000265857,C"
PIK3C2A,P0006_F06,N,ENST00000265970,"ENST00000265970,N"
RBM6,P0017_H04,N,ENST00000266022,"ENST00000266022,N"
CPSF6,P0011_B07,N,ENST00000266679,"ENST00000266679,N"
SLC6A15,P0015_F03,C,ENST00000266682,"ENST00000266682,C"
SNRPF,P0017_E11,N,ENST00000266735,"ENST00000266735,N"
NEDD1,P0005_E07,C,ENST00000266742,"ENST00000266742,C"
SLC15A4,P0015_G02,C,ENST00000266771,"ENST00000266771,C"
CDK2,P0013_C04,C,ENST00000266970,"ENST00000266970,C"
SMARCC2,P0018_H04,C,ENST00000267064,"ENST00000267064,C"
ANKRD52,P0015_G11,N,ENST00000267116,"ENST00000267116,N"
VPS33A,P0021_G09,N,ENST00000267199,"ENST00000267199,N"
ANKRD10,P0015_G04,N,ENST00000267339,"ENST00000267339,N"
EMC4,P0021_B01,N,ENST00000267750,"ENST00000267750,N"
SRP14,P0018_A05,N,ENST00000267884,"ENST00000267884,N"
COMMD4,P0007_H08,C,ENST00000267935,"ENST00000267935,C"
IGF1R,P0003_D04,C,ENST00000268035,"ENST00000268035,C"
SCAMP2,P0005_G08,C,ENST00000268099,"ENST00000268099,C"
MAP1LC3B,P0004_H08,N,ENST00000268607,"ENST00000268607,N"
MED9,P0007_G05,N,ENST00000268711,"ENST00000268711,N"
CDH2,P0003_C12,C,ENST00000269141,"ENST00000269141,C"
IMPA2,P0006_H03,N,ENST00000269159,"ENST00000269159,N"
MYH10,P0017_C09,N,ENST00000269243,"ENST00000269243,N"
EIF4A3,P0019_G04,N,ENST00000269349,"ENST00000269349,N"
CEP131,P0007_B08,N,ENST00000269392,"ENST00000269392,N"
SH3GL1,P0010_B09,C,ENST00000269886,"ENST00000269886,C"
SCYL1,P0014_E07,N,ENST00000270176,"ENST00000270176,N"
SAE1,P0019_G09,N,ENST00000270225,"ENST00000270225,N"
PSMB6,P0006_A12,C,ENST00000270586,"ENST00000270586,C"
RPS11,P0003_C03,N,ENST00000270625,"ENST00000270625,N"
PSMA5,P0006_B12,C,ENST00000271308,"ENST00000271308,C"
NUF2,P0021_E06,C,ENST00000271452,"ENST00000271452,C"
SF3B4,P0017_D12,N,ENST00000271628,"ENST00000271628,N"
ARF1,P0010_A05,C,ENST00000272102,"ENST00000272102,C"
