gene_name,plate_well_ID,Target_terminus,Ensembl_ID,input
ARHGAP8,P0009_A06,N,ENST00000389774,"ENST00000389774,N"
SEPTIN2,P0010_G08,C,ENST00000391971,"ENST00000391971,C"
AKT2,P0013_A04,N,ENST00000392038,"ENST00000392038,N"
DnaJB2,P0005_B05,N,ENST00000392086,"ENST00000392086,N"
TMCO1,P0021_B06,C,ENST00000392129,"ENST00000392129,C"
SNX9,P0008_H02,N,ENST00000392185,"ENST00000392185,N"
FAM117B,P0022_F08,N,ENST00000392238,"ENST00000392238,N"
MYO1B,P0017_D02,N,ENST00000392318,"ENST00000392318,N"
RAN,P0011_E10,N,ENST00000392369,"ENST00000392369,N"
WASF1,P0008_H05,N,ENST00000392587,"ENST00000392587,N"
CERS6,P0011_G06,C,ENST00000392687,"ENST00000392687,C"
ECT2,P0009_B09,N,ENST00000392692,"ENST00000392692,N"
BIN1,P0008_E02,C,ENST00000393040,"ENST00000393040,C"
CLTC,P0001_D02,C,ENST00000393043,"ENST00000393043,C"
CALD1,P0011_C02,N,ENST00000393118,"ENST00000393118,N"
OSBPL8,P0001_E01,N,ENST00000393250,"ENST00000393250,N"
MAPK9,P0012_G01,N,ENST00000393360,"ENST00000393360,N"
TDP1,P0011_F07,N,ENST00000393454,"ENST00000393454,N"
ANKRD39,P0015_H09,N,ENST00000393537,"ENST00000393537,N"
FAM50A,P0019_H08,N,ENST00000393600,"ENST00000393600,N"
KEAP1,P0021_F11,C,ENST00000393623,"ENST00000393623,C"
SRPK2,P0014_E12,N,ENST00000393651,"ENST00000393651,N"
PSMC3IP,P0006_D04,N,ENST00000393795,"ENST00000393795,N"
ESYT1,P0001_D04,N,ENST00000394048,"ENST00000394048,N"
KLC2,P0017_C06,N,ENST00000394067,"ENST00000394067,N"
MED24,P0007_E10,C,ENST00000394128,"ENST00000394128,C"
ARL13B,P0008_C01,C,ENST00000394222,"ENST00000394222,C"
STK26,P0014_F05,N,ENST00000394334,"ENST00000394334,N"
KIF7,P0017_C01,C,ENST00000394412,"ENST00000394412,C"
UTP14A,P0012_F03,N,ENST00000394422,"ENST00000394422,N"
CCT4,P0007_C09,C,ENST00000394440,"ENST00000394440,C"
GTF2F1,P0013_F04,C,ENST00000394456,"ENST00000394456,C"
AKAP13,P0009_D09,C,ENST00000394518,"ENST00000394518,C"
ELOVL6,P0004_E01,C,ENST00000394607,"ENST00000394607,C"
SRI,P0011_E11,C,ENST00000394641,"ENST00000394641,C"
CDC23,P0007_D04,C,ENST00000394886,"ENST00000394886,C"
KIF20A,P0017_B04,C,ENST00000394894,"ENST00000394894,C"
SMARCD1,P0018_H05,N,ENST00000394963,"ENST00000394963,N"
VDAC1,P0005_H02,N,ENST00000395044,"ENST00000395044,N"
CDK1,P0003_H08,C,ENST00000395284,"ENST00000395284,C"
SEC31A,P0003_F02,N,ENST00000395310,"ENST00000395310,N"
VAPB,P0001_H12,N,ENST00000395802,"ENST00000395802,N"
YWHAZ,P0008_A07,N,ENST00000395958,"ENST00000395958,N"
VPS41,P0021_G10,C,ENST00000395969,"ENST00000395969,C"
DDX39B,P0019_F08,N,ENST00000396172,"ENST00000396172,N"
CTNNB1,P0010_H09,C,ENST00000396183,"ENST00000396183,C"
PSMA1,P0006_B09,C,ENST00000396394,"ENST00000396394,C"
ARHGAP21,P0009_A02,N,ENST00000396432,"ENST00000396432,N"
SLC30A5,P0015_B09,C,ENST00000396591,"ENST00000396591,C"
TMEM106B,P0022_D10,N,ENST00000396668,"ENST00000396668,N"
ATG9A,P0005_G03,C,ENST00000396761,"ENST00000396761,C"
CSNK1E,P0013_D07,N,ENST00000396832,"ENST00000396832,N"
GAPDH,P0011_B08,N,ENST00000396859,"ENST00000396859,N"
GPAT4,P0004_E09,C,ENST00000396987,"ENST00000396987,C"
PRKAA1,P0014_C06,N,ENST00000397128,"ENST00000397128,N"
AKAP8L,P0016_D11,C,ENST00000397410,"ENST00000397410,C"
CEP250,P0007_B03,C,ENST00000397527,"ENST00000397527,C"
RAB2B,P0001_F05,N,ENST00000397762,"ENST00000397762,N"
MAP2K7,P0013_G02,C,ENST00000397979,"ENST00000397979,C"
PIP4P1,P0006_F10,N,ENST00000398020,"ENST00000398020,N"
MAPK1,P0013_G09,C,ENST00000398822,"ENST00000398822,C"
ATL3,P0001_A02,N,ENST00000398868,"ENST00000398868,N"
SEPTIN7,P0010_G09,C,ENST00000399034,"ENST00000399034,C"
POLR3G,P0010_F07,N,ENST00000399107,"ENST00000399107,N"
RBM12B,P0017_F07,N,ENST00000399300,"ENST00000399300,N"
ITSN1,P0009_B12,N,ENST00000399352,"ENST00000399352,N"
ANKRD28,P0015_G12,N,ENST00000399451,"ENST00000399451,N"
ROCK1,P0014_D09,N,ENST00000399799,"ENST00000399799,N"
XPO1,P0012_B09,C,ENST00000401558,"ENST00000401558,C"
RPS14,P0003_C04,N,ENST00000401695,"ENST00000401695,N"
STK25,P0014_F04,N,ENST00000401869,"ENST00000401869,N"
RBM33,P0017_G07,N,ENST00000401878,"ENST00000401878,N"
SOS1,P0009_E02,N,ENST00000402219,"ENST00000402219,N"
EFTUD2,P0019_H01,N,ENST00000402521,"ENST00000402521,N"
SAR1B,P0003_F06,C,ENST00000402673,"ENST00000402673,C"
IMP3,P0012_D05,N,ENST00000403490,"ENST00000403490,N"
PSME4,P0006_D08,N,ENST00000404125,"ENST00000404125,N"
ARHGAP35,P0009_A04,N,ENST00000404338,"ENST00000404338,N"
PSMG3,P0006_C11,N,ENST00000404674,"ENST00000404674,N"
ATG4B,P0021_C08,N,ENST00000404914,"ENST00000404914,N"
RELA,P0019_B01,N,ENST00000406246,"ENST00000406246,N"
KDSR,P0004_B12,C,ENST00000406396,"ENST00000406396,C"
EWSR1,P0011_E09,N,ENST00000406548,"ENST00000406548,N"
ILF3,P0012_B01,N,ENST00000407004,"ENST00000407004,N"
RANGRF,P0018_C05,N,ENST00000407006,"ENST00000407006,N"
SLC44A2,P0015_E09,C,ENST00000407327,"ENST00000407327,C"
AKT1,P0009_F04,C,ENST00000407796,"ENST00000407796,C"
RBM34,P0017_G08,N,ENST00000408888,"ENST00000408888,N"
MARK2,P0014_A02,N,ENST00000408948,"ENST00000408948,N"
PTMA,P0014_E01,N,ENST00000409115,"ENST00000409115,N"
C19orf24,P0001_B01,C,ENST00000409293,"ENST00000409293,C"
FCHSD2,P0010_B04,C,ENST00000409418,"ENST00000409418,C"
RAB1A,P0001_E09,N,ENST00000409784,"ENST00000409784,N"
INPP4A,P0006_G03,N,ENST00000409851,"ENST00000409851,N"
CHN1,P0009_A07,N,ENST00000409900,"ENST00000409900,N"
PPP6R1,P0018_B12,N,ENST00000412770,"ENST00000412770,N"
RPP30,P0012_F07,C,ENST00000413330,"ENST00000413330,C"
PSMA4,P0006_A02,C,ENST00000413382,"ENST00000413382,C"
SLC4A2,P0015_E11,C,ENST00000413384,"ENST00000413384,C"
RBM28,P0012_E04,C,ENST00000415472,"ENST00000415472,C"
TRIM24,P0014_G05,N,ENST00000415680,"ENST00000415680,N"
TIA1,P0022_F10,N,ENST00000415783,"ENST00000415783,N"
RHOA,P0009_E07,N,ENST00000418115,"ENST00000418115,N"
GNL3,P0012_B05,C,ENST00000418458,"ENST00000418458,C"
SLC26A6,P0015_B01,C,ENST00000420764,"ENST00000420764,C"
FNBP1,P0008_F08,N,ENST00000420781,"ENST00000420781,N"
INPP5K,P0006_G08,N,ENST00000421807,"ENST00000421807,N"
ANXA11,P0012_F08,C,ENST00000422982,"ENST00000422982,C"
SEPTIN9,P0010_G10,C,ENST00000423034,"ENST00000423034,C"
TOP2A,P0003_B05,N,ENST00000423485,"ENST00000423485,N"
CEP78,P0007_B05,C,ENST00000424347,"ENST00000424347,C"
PXN,P0008_H01,C,ENST00000424649,"ENST00000424649,C"
PHKG2,P0014_B09,N,ENST00000424889,"ENST00000424889,N"
COPG2,P0003_G05,C,ENST00000425248,"ENST00000425248,C"
SLC2A1,P0015_B06,C,ENST00000426263,"ENST00000426263,C"
BAIAP2,P0010_B05,N,ENST00000428708,"ENST00000428708,N"
CHEK1,P0008_E10,N,ENST00000428830,"ENST00000428830,N"
DnaJB6,P0005_B08,N,ENST00000429029,"ENST00000429029,N"
MED6,P0007_E12,C,ENST00000430055,"ENST00000430055,C"
UBA52,P0012_A05,N,ENST00000430157,"ENST00000430157,N"
CDK12,P0013_C01,C,ENST00000430627,"ENST00000430627,C"
SEC14L1,P0004_A12,C,ENST00000430767,"ENST00000430767,C"
MED19,P0007_F12,N,ENST00000431606,"ENST00000431606,N"
HUS1,P0021_C02,C,ENST00000432325,"ENST00000432325,C"
SLC9A3R2,P0015_F08,C,ENST00000432365,"ENST00000432365,C"
SUPT5H,P0012_E01,N,ENST00000432763,"ENST00000432763,N"
HSPBP1,P0005_E04,C,ENST00000433386,"ENST00000433386,C"
SLC25A17,P0003_E06,C,ENST00000435456,"ENST00000435456,C"
PAIP1,P0011_D05,N,ENST00000436644,"ENST00000436644,N"
VPS8,P0021_A09,C,ENST00000436792,"ENST00000436792,C"
HMGB2,P0019_F11,N,ENST00000438704,"ENST00000438704,N"
PSMG4,P0006_D07,N,ENST00000438998,"ENST00000438998,N"
ULK3,P0014_H03,N,ENST00000440863,"ENST00000440863,N"
MARK3,P0014_A03,N,ENST00000440884,"ENST00000440884,N"
POLR2F,P0010_E05,N,ENST00000442738,"ENST00000442738,N"
HNRNPH1,P0019_E06,N,ENST00000442819,"ENST00000442819,N"
RPS6KB1,P0014_E04,C,ENST00000443572,"ENST00000443572,C"
FXR1,P0016_B04,N,ENST00000445140,"ENST00000445140,N"
GDI1,P0004_H05,C,ENST00000447750,"ENST00000447750,C"
FDPS,P0004_A08,C,ENST00000447866,"ENST00000447866,C"
SMARCD2,P0018_H06,N,ENST00000448276,"ENST00000448276,N"
CLCN7,P0018_F06,C,ENST00000448525,"ENST00000448525,C"
BRD2,P0013_B01,N,ENST00000449085,"ENST00000449085,N"
U2AF2,P0019_E08,C,ENST00000450554,"ENST00000450554,C"
CYP51A1,P0004_B02,C,ENST00000450723,"ENST00000450723,C"
DNM1L,P0016_E01,N,ENST00000452533,"ENST00000452533,N"
KLC1,P0017_C05,N,ENST00000452929,"ENST00000452929,N"
POLR2H,P0010_E07,C,ENST00000452961,"ENST00000452961,C"
ARL6IP4,P0008_D05,C,ENST00000453766,"ENST00000453766,C"
MECP2,P0016_A05,C,ENST00000453960,"ENST00000453960,C"
DOCK7,P0009_B07,N,ENST00000454575,"ENST00000454575,N"
SEPTIN5,P0010_H03,C,ENST00000455784,"ENST00000455784,C"
OST4,P0007_A09,C,ENST00000456793,"ENST00000456793,C"
DNAJC7,P0005_C12,N,ENST00000457167,"ENST00000457167,N"
PSMD11,P0006_C05,N,ENST00000457654,"ENST00000457654,N"
RBBP4,P0021_F03,C,ENST00000458695,"ENST00000458695,C"
CDS2,P0004_G03,N,ENST00000460006,"ENST00000460006,N"
ARL6,P0008_D02,C,ENST00000463745,"ENST00000463745,C"
DNAJC24,P0005_C06,N,ENST00000465995,"ENST00000465995,N"
SRPRB,P0018_A09,C,ENST00000466490,"ENST00000466490,C"
AGAP3,P0010_A03,N,ENST00000473312,"ENST00000473312,N"
COMMD2,P0007_H07,C,ENST00000473414,"ENST00000473414,C"
U2SURP,P0019_H02,N,ENST00000473835,"ENST00000473835,N"
ALG2,P0011_C01,C,ENST00000476832,"ENST00000476832,C"
PPP2CA,P0007_D02,C,ENST00000481195,"ENST00000481195,C"
NVL,P0012_F09,C,ENST00000482491,"ENST00000482491,C"
SH3GLB1,P0010_B10,C,ENST00000482504,"ENST00000482504,C"
MCM10,P0021_B10,N,ENST00000484800,"ENST00000484800,N"
CDK5,P0013_C06,C,ENST00000485972,"ENST00000485972,C"
RAB6B,P0001_G03,N,ENST00000486858,"ENST00000486858,N"
IPO5,P0016_E10,N,ENST00000490680,"ENST00000490680,N"
UBA5,P0021_A07,C,ENST00000494238,"ENST00000494238,C"
DBNL,P0008_F02,C,ENST00000494774,"ENST00000494774,C"
EBP,P0004_B07,C,ENST00000495186,"ENST00000495186,C"
RRP1,P0003_B10,N,ENST00000497547,"ENST00000497547,N"
CNBP,P0019_F09,N,ENST00000502976,"ENST00000502976,N"
CCT5,P0007_C10,C,ENST00000503026,"ENST00000503026,C"
TNPO1,P0016_G08,N,ENST00000506351,"ENST00000506351,N"
CEP192,P0007_C04,C,ENST00000506447,"ENST00000506447,C"
APC,P0010_D01,C,ENST00000508376,"ENST00000508376,C"
HSPA4L,P0005_D12,C,ENST00000508776,"ENST00000508776,C"
ATG12,P0021_C05,N,ENST00000509910,"ENST00000509910,N"
RACK1,P0013_E04,C,ENST00000512805,"ENST00000512805,C"
PTDSS1,P0004_G07,N,ENST00000517309,"ENST00000517309,N"
ATP6V0E1,P0018_E06,N,ENST00000519374,"ENST00000519374,N"
IKBKB,P0013_F06,C,ENST00000520810,"ENST00000520810,C"
INTS9,P0011_B02,C,ENST00000521022,"ENST00000521022,C"
PTK2,P0014_D03,N,ENST00000521059,"ENST00000521059,N"
PIK3R1,P0009_D06,N,ENST00000521381,"ENST00000521381,N"
ENY2,P0021_B08,N,ENST00000521662,"ENST00000521662,N"
CASP3,P0019_B08,C,ENST00000523916,"ENST00000523916,C"
ATG13,P0021_C06,N,ENST00000524625,"ENST00000524625,N"
ARFGAP2,P0010_A10,C,ENST00000524782,"ENST00000524782,C"
EIF3M,P0019_E07,C,ENST00000524896,"ENST00000524896,C"
SLC35F2,P0015_C11,C,ENST00000525815,"ENST00000525815,C"
RBM25,P0017_G04,N,ENST00000527432,"ENST00000527432,N"
FAU,P0011_H08,C,ENST00000527548,"ENST00000527548,C"
CLNS1A,P0011_G11,N,ENST00000528364,"ENST00000528364,N"
TOR1AIP1,P0016_D09,N,ENST00000528443,"ENST00000528443,N"
HSF1,P0005_D03,C,ENST00000528838,"ENST00000528838,C"
STT3A,P0007_A05,N,ENST00000529196,"ENST00000529196,N"
RAB2A,P0001_F04,N,ENST00000531289,"ENST00000531289,N"
CTBP2,P0016_D02,N,ENST00000531469,"ENST00000531469,N"
ATXN3,P0018_H09,N,ENST00000532032,"ENST00000532032,N"
PSMD13,P0006_C03,N,ENST00000532097,"ENST00000532097,N"
PICALM,P0008_G11,C,ENST00000532317,"ENST00000532317,C"
AMBRA1,P0021_F06,N,ENST00000534300,"ENST00000534300,N"
CLIP1,P0009_F10,N,ENST00000537178,"ENST00000537178,N"
PSMD9,P0006_C12,N,ENST00000537407,"ENST00000537407,N"
RABEP1,P0001_G08,N,ENST00000537505,"ENST00000537505,N"
BCAR1,P0008_E01,N,ENST00000538440,"ENST00000538440,N"
NUP107,P0019_C05,N,ENST00000539906,"ENST00000539906,N"
RBM7,P0017_H05,C,ENST00000540163,"ENST00000540163,C"
KPNB1,P0016_F08,C,ENST00000540627,"ENST00000540627,C"
CLASP1,P0016_A08,N,ENST00000541377,"ENST00000541377,N"
ARF3,P0010_A06,C,ENST00000541959,"ENST00000541959,C"
SLC1A5,P0015_A10,C,ENST00000542575,"ENST00000542575,C"
CEPT1,P0004_G04,N,ENST00000545121,"ENST00000545121,N"
TJP1,P0010_H04,N,ENST00000545208,"ENST00000545208,N"
HLA-A,P0001_D05,C,ENST00000547271,"ENST00000547271,C"
MYL6,P0017_C11,N,ENST00000547649,"ENST00000547649,N"
DCTN2,P0019_H09,C,ENST00000548249,"ENST00000548249,C"
COPZ1,P0003_G04,C,ENST00000549043,"ENST00000549043,C"
MYL6B,P0017_C12,N,ENST00000550443,"ENST00000550443,N"
RAB5B,P0001_G02,N,ENST00000553116,"ENST00000553116,N"
HNRNPC,P0021_E08,N,ENST00000553300,"ENST00000553300,N"
SYNE3,P0016_E04,N,ENST00000553340,"ENST00000553340,N"
C14orf119,P0001_A06,N,ENST00000554203,"ENST00000554203,N"
TMPO,P0016_D05,C,ENST00000556029,"ENST00000556029,C"
EIF5,P0019_F10,N,ENST00000558506,"ENST00000558506,N"
SNX1,P0010_C06,N,ENST00000559844,"ENST00000559844,N"
RBM15B,P0017_F10,N,ENST00000563281,"ENST00000563281,N"
GSPT1,P0019_H03,N,ENST00000563468,"ENST00000563468,N"
ZNF598,P0021_D10,N,ENST00000563630,"ENST00000563630,N"
POLR3E,P0010_F05,C,ENST00000564209,"ENST00000564209,C"
RPL13,P0019_E04,C,ENST00000567815,"ENST00000567815,C"
NUTF2,P0016_F09,C,ENST00000569436,"ENST00000569436,C"
BOP1,P0012_C11,C,ENST00000569669,"ENST00000569669,C"
RSL1D1,P0012_B06,C,ENST00000571133,"ENST00000571133,C"
YWHAE,P0008_A03,C,ENST00000571732,"ENST00000571732,C"
POLR2A,P0010_D12,N,ENST00000572844,"ENST00000572844,N"
ACTG1,P0013_E07,N,ENST00000573283,"ENST00000573283,N"
LSM14A,P0019_A03,N,ENST00000575811,"ENST00000575811,N"
ANAPC11,P0007_D07,N,ENST00000579978,"ENST00000579978,N"
DYNLL2,P0017_A10,N,ENST00000579991,"ENST00000579991,N"
AURKB,P0013_A09,N,ENST00000585124,"ENST00000585124,N"
PSMG2,P0006_D09,C,ENST00000585331,"ENST00000585331,C"
SLC16A2,P0015_A06,C,ENST00000587091,"ENST00000587091,C"
C19orf53,P0001_B04,N,ENST00000588234,"ENST00000588234,N"
SNRPD2,P0017_E09,N,ENST00000588301,"ENST00000588301,N"
MFSD11,P0018_C04,C,ENST00000590514,"ENST00000590514,C"
PSME3,P0006_A07,N,ENST00000590720,"ENST00000590720,N"
RuvBL2,P0019_D06,C,ENST00000595090,"ENST00000595090,C"
MYO9B,P0009_D05,N,ENST00000595618,"ENST00000595618,N"
SLC35E1,P0015_C09,C,ENST00000595753,"ENST00000595753,C"
EMG1,P0012_F06,N,ENST00000599672,"ENST00000599672,N"
DDOST,P0007_A04,C,ENST00000602624,"ENST00000602624,C"
RER1,P0011_C12,N,ENST00000605895,"ENST00000605895,N"
PSMC6,P0006_C10,N,ENST00000606149,"ENST00000606149,N"
FKBP8,P0019_A12,N,ENST00000608443,"ENST00000608443,N"
RPAP2,P0011_G07,N,ENST00000610020,"ENST00000610020,N"
NSA2,P0011_D03,N,ENST00000610426,"ENST00000610426,N"
C18orf21,P0001_A10,N,ENST00000610527,"ENST00000610527,N"
MED22,P0007_G03,N,ENST00000610888,"ENST00000610888,N"
MIS12,P0008_A09,C,ENST00000611091,"ENST00000611091,C"
ARL8B,P0008_C12,C,ENST00000611208,"ENST00000611208,C"
GPAT3,P0004_E08,C,ENST00000611707,"ENST00000611707,C"
ABR,P0009_E03,N,ENST00000612118,"ENST00000612118,N"
C8orf59,P0001_C04,N,ENST00000612809,"ENST00000612809,N"
SLC46A1,P0015_F12,C,ENST00000612814,"ENST00000612814,C"
MYO19,P0017_D01,N,ENST00000614623,"ENST00000614623,N"
POLR2E,P0010_E04,N,ENST00000615234,"ENST00000615234,N"
PSME2,P0006_D03,N,ENST00000615264,"ENST00000615264,N"
CDK7,P0013_C07,C,ENST00000615305,"ENST00000615305,C"
MYO6,P0017_D04,N,ENST00000615563,"ENST00000615563,N"
MED29,P0007_G06,N,ENST00000615911,"ENST00000615911,N"
RAD17,P0021_C01,N,ENST00000616683,"ENST00000616683,N"
ORAI1,P0004_G12,N,ENST00000617316,"ENST00000617316,N"
RBM15,P0017_F09,C,ENST00000618772,"ENST00000618772,C"
WASF2,P0008_H06,N,ENST00000618852,"ENST00000618852,N"
SMARCB1,P0018_H02,C,ENST00000618915,"ENST00000618915,C"
RAB9A,P0001_G06,N,ENST00000618931,"ENST00000618931,N"
PIP5K2B,P0006_G02,C,ENST00000619039,"ENST00000619039,C"
AATF,P0012_E09,N,ENST00000619387,"ENST00000619387,N"
PSMB3,P0006_A06,C,ENST00000619426,"ENST00000619426,C"
PSMC3,P0006_A10,N,ENST00000619920,"ENST00000619920,N"
FTH1,P0021_D04,N,ENST00000620041,"ENST00000620041,N"
DDX6,P0019_A02,C,ENST00000620157,"ENST00000620157,C"
NUMA1,P0012_G02,N,ENST00000620566,"ENST00000620566,N"
G6PD,P0011_D10,N,ENST00000621232,"ENST00000621232,N"
ANAPC16,P0007_D10,N,ENST00000621663,"ENST00000621663,N"
AP2B1,P0021_E12,C,ENST00000621914,"ENST00000621914,C"
SCAMP1,P0005_G07,N,ENST00000621999,"ENST00000621999,N"
DNM1,P0008_F03,C,ENST00000627543,"ENST00000627543,C"
ATP6AP2,P0018_E02,C,ENST00000636580,"ENST00000636580,C"
ARID1B,P0018_G07,N,ENST00000636930,"ENST00000636930,N"
CANX,P0006_F07,C,ENST00000638706,"ENST00000638706,C"
STIM2,P0016_C05,C,ENST00000639640,"ENST00000639640,C"
HNRNPU,P0021_E11,C,ENST00000640218,"ENST00000640218,C"
PHGDH,P0011_A06,C,ENST00000641023,"ENST00000641023,C"
GSTP1,P0011_A04,C,ENST00000642444,"ENST00000642444,C"
SLC37A4,P0015_D03,C,ENST00000642844,"ENST00000642844,C"
SRP72,P0018_A07,N,ENST00000642900,"ENST00000642900,N"
SLC33A1,P0015_B12,C,ENST00000643144,"ENST00000643144,C"
TCOF1,P0012_D04,N,ENST00000643257,"ENST00000643257,N"
PGK1,P0019_E09,C,ENST00000644362,"ENST00000644362,C"
SMARCE1,P0018_H08,N,ENST00000644701,"ENST00000644701,N"
COL4A3BP,P0001_D03,C,ENST00000645483,"ENST00000645483,C"
RPS6KA3,P0014_D12,N,ENST00000645845,"ENST00000645845,N"
SMARCA4,P0018_G10,N,ENST00000647230,"ENST00000647230,N"
